gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCF1,71.9667873072766,0.0473738144212632,0.131539847131883,0.36014801183223,0.718736450125707,1
ABCF2,36.9806240269024,-0.0264800155011033,0.152005029295072,-0.174204864298932,0.861704462833405,1
ABCF3,5.52492540406629,0.14332906621945,0.176699742479259,0.811144737442243,0.417282556946078,1
ABCG1,2.55365851252413,-0.279074232130411,0.153441220079756,-1.818769636903,0.0689465825318131,1
ABCG2,0.0426760322993396,-0.00351188213812802,0.0344179956605189,-0.102036218865485,0.918727926603907,1
ABHD1,0.37704853294774,-0.0439969026660791,0.0701511603478339,-0.627172842871409,0.53054594266828,1
ABHD10,10.3154171544554,-0.221892215429671,0.178499915544702,-1.24309423201997,0.213833111045276,1
ABHD11,14.1404844816788,-0.177282140056348,0.171482463775462,-1.03382081265452,0.301219939953407,1
ABHD12,8.55959655781794,0.179662416566335,0.178700299527511,1.00538396992825,0.314711995657787,1
ABHD12B,0.370389745689114,-0.00033668655254801,0.0689701455230471,-0.00488162740552001,0.996105040331217,1
ABHD13,33.0499259778848,-0.144927639543782,0.152207786614412,-0.952169680457461,0.341010934947704,1
ABHD14A,1.21403465928399,-0.113129030584257,0.122165338703288,-0.926032144510497,0.354429275427239,1
ABHD14B,16.2010710633096,0.0748804242021423,0.172556864155107,0.433946366426978,0.664327388666919,1
ABHD15,6.93719487799874,-0.00259789420980295,0.178101371757714,-0.0145866041578673,0.988361986450816,1
ABHD16A,21.4375195007201,-0.104054227342152,0.160388926179677,-0.648761917799639,0.516492275946861,1
ABHD16B,0.510013131354688,0.0173838358463095,0.0856087191176052,0.20306151085415,0.839086954843533,1
ABHD17A,4.46549278030545,-0.0279121734246352,0.172090514965468,-0.162194723109731,0.871152515128742,1
ABHD17B,5.71678588319753,-0.10468579068121,0.176794131779675,-0.592133854372903,0.553760958449919,1
ABHD17C,0.483142911809972,-0.0325153449010413,0.0730204504372802,-0.445290938447029,0.656109515515396,1
ABHD2,45.9924640273993,0.0101580535187178,0.147096976639771,0.0690568477392574,0.944944369502342,1
ABHD3,8.15931903861583,0.0987344589346852,0.178691693102269,0.552540844068098,0.580577858867432,1
ABHD4,14.9539529381892,-0.0296329280685572,0.17265549720737,-0.171630376952124,0.863728124452814,1
ABHD5,32.2744998431503,-0.289901196391099,0.15448289160142,-1.87659095053108,0.0605741786239819,1
ABHD6,2.69359805734155,-0.158750423359196,0.155245411405989,-1.02257723382265,0.306507778278201,1
ABHD8,0.249492374981431,-0.000314945049139062,0.0518783464902914,-0.00607083822916371,0.99515620165893,1
ABI1,156.638001521915,-0.0152282574418307,0.110315564587505,-0.138042691425934,0.890206677624166,1
ABI2,7.15843232889376,0.107891640394581,0.178398748956252,0.604778010080319,0.545326506594871,1
ABI3,17.1293362684135,0.0877730839730895,0.176545266895901,0.497170417062749,0.619068880950675,1
ABL1,2.99518458164417,0.118489009876968,0.154749544488032,0.765682446878749,0.443865273904467,1
ABL2,22.2643132802107,-0.0962372099557654,0.165138446398957,-0.582766836277887,0.56005027309301,1
ABLIM1,6.98201207325474,0.302642810298563,0.176718709520396,1.71256801908478,0.0867920410648046,1
ABLIM2,0.0425705774123453,0,0.0344179956605189,0,1,1
ABO,0.207773841023631,0.00558590746089844,0.0450504189506657,0.123992353256815,0.901321329558356,1
ABR,12.4719427344429,-0.189548498476853,0.175722401167441,-1.07868147269532,0.280729747694094,1
ABRA,0.254664758499378,-0.000420724260916999,0.0597389013547782,-0.00704271841924906,0.994380770159428,1
ABRACL,451.340502721108,0.284135747219912,0.0899063186387889,3.16035348262303,0.00157577836615325,1
ABT1,20.5350764004469,0.0949115575444848,0.162224989358172,0.585061265345083,0.558506522765532,1
ABTB1,7.39336033416424,0.0932405608959434,0.178446381707216,0.522513037271482,0.60131317153488,1
ABTB2,0.544235217409668,-0.0660329510343,0.0870535097943795,-0.758532897642725,0.44813202646441,1
