gene,cv,mean
DDX27,0.27233106786835,50
CHD4,0.272437128157916,36.3645833333333
RAN,0.272896029357231,205.854166666667
TCEA1,0.272989828026855,43.78125
ABRACL,0.2731215843498,212.75
DNAJC8,0.273236637544405,197.291666666667
AIMP1,0.273718978948399,79.6041666666667
ANAPC16,0.274299774634531,164.802083333333
RNMT,0.274333327248398,66.4479166666667
ARID4A,0.274789290611424,52.6666666666667
TATDN1,0.2750264923692,38.2395833333333
PMPCB,0.275026855534041,67.0104166666667
KTN1,0.275118366867316,44.7708333333333
COIL,0.275174021309732,42.1354166666667
ATRAID,0.275382390920789,83.125
COX4I1,0.275517109623523,655.4375
PHF20,0.275701148057188,42.8229166666667
SP100,0.276092883883343,80.1041666666667
BCLAF1,0.276153331776845,206.34375
GSTK1,0.276160185574107,312.385416666667
ADH5,0.276596424026661,54.7708333333333
UBE2G2,0.276887468001247,31.6458333333333
B2M,0.276920780377692,23198.8125
SRP14,0.276926733888647,359.385416666667
SRSF2,0.277094113236564,33.6354166666667
NHP2L1,0.277288138085479,127.322916666667
NAP1L1,0.277361569218681,308.416666666667
SUB1,0.277418146102547,372.083333333333
SREK1IP1,0.277439764808728,75.2604166666667
SRSF5,0.27776025055295,606.458333333333
UBE2N,0.277889563328914,77.9375
MRPL48,0.278091916504184,31.875
ZC3H15,0.278132185831466,142.9375
CFDP1,0.27841865054504,68.3854166666667
MED4,0.278794681979989,121.041666666667
STK4,0.279184100395222,114.53125
EIF3L,0.279366971415886,471.427083333333
TAPBP,0.279566948707325,422.520833333333
NSMCE1,0.27969424605392,79.9270833333333
CCT4,0.27972278291455,28.2708333333333
UFC1,0.27986955765254,124.666666666667
CDC26,0.279889446718816,99.8333333333333
METAP2,0.279999326874339,65.5208333333333
CD48,0.280058991771571,320.6875
NSRP1,0.280113409593872,104.010416666667
BIN2,0.280124565187015,96.7395833333333
HNRNPH3,0.280241729359287,139.010416666667
ZCRB1,0.280317144313986,58.3333333333333
ANP32B,0.280337367161769,41.9583333333333
MEAF6,0.280460942190623,25.34375
HSP90B1,0.280566776357546,123.1875
ZNF24,0.280728355325662,80.9270833333333
GLG1,0.28078896649239,56.2083333333333
TFAM,0.280828582390003,84.40625
TIMM9,0.280896419748431,46.90625
FYB,0.280951468054319,542.854166666667
ARGLU1,0.280991771655636,149.5
HNRNPA3,0.281062139567519,79.65625
UPF2,0.281134123099329,63.84375
THOC2,0.281160337646048,80.78125
NAA38,0.281250718259458,100.395833333333
RASSF5,0.281632821325712,33.6041666666667
TBCA,0.282068895122502,154.479166666667
CDC42SE1,0.282199269221394,43.1770833333333
ZCCHC17,0.282264714725749,55.3541666666667
